Fecha,Equipo,Componente,Aceite Lubricante,nflota,cambioLubricanate,Contenido de agua %,Punto de inflamacion °C,Glicol %,Nitracion A/cm,Oxidación A/cm,Hollín %,Sulfatacion A/cm,Diesel %,N de part >4µm,N° de part >6µm,N° de part>14µm,Código ISO 4406,Viscosidad 100°C cSt(mm2/s),Viscosidad 40°C cSt(mm2/s),TAN mg KOH/g,TBN mg KOH/g,Plata (Ag) ppm,Aluminio (Al) ppm,Bario (Ba) ppm,Boro (B) ppm,Calcio (Ca) ppm,Cromo (Cr) ppm,Cobre (Cu) ppm,Hierro (Fe) ppm,Potasio (K) ppm,Magnesio (Mg) ppm,Molibdeno (Mo) ppm,Sodio (Na) ppm,Níquel (Ni) ppm,Plomo (Pb) ppm,Fósforo (P) ppm,Silicio (Si) ppm,Estaño (Sn) ppm,Titanio (Ti) ppm,Vanadio (V) ppm,Zinc (Zn) ppm,Residuo Ferroso Total mg/kg,Numero Muestra,Numero Registro,Numero Serie Equipo,Criticidad
2025-04-24 12:58:21.399850,KOMATSU 960 E2-K,MOTOR TRACCION DER,MOBIL SHC GEAR 680,511,Cambio Aceite,0.22,239,0.05,1,2,0.45,1,0.87,6352,1584,617,19/19/13,11.24,86.92,1.55,0,0,2,0,5,832,1,5,56,0,7,9,15,8,1,7,5,9,4,5,39,27,B00746,746,LAJ405,Normal
2025-04-24 13:03:21.399850,KOMATSU 960 E2-K,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,915,Muestreo,0.22,202,0.05,3,3,0.45,0,0.87,9773,2870,261,20/18/13,11.24,86.92,1.43,3,1,5,4,4,65,8,3,71,1,8,4,24,4,5,1,6,9,1,3,39,150,C00747,747,LAJ315,Normal
2025-04-24 13:08:21.399850,CATERPILLAR 24M,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,515,Muestreo,0.22,188,0.05,2,0,0.45,0,0.87,2656,4479,520,19/18/16,11.24,86.92,1.96,3,0,3,9,9,226,0,11,75,1,8,7,10,1,3,9,13,6,8,1,72,197,E00748,748,LAJ580,Normal
2025-04-24 13:13:21.399850,KOMATSU 960 E2-K,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,513,Muestreo,0.22,227,0.05,4,3,0.45,4,0.87,3666,3945,663,21/18/14,11.24,86.92,2.48,1,4,12,7,6,740,9,29,131,8,7,1,14,0,3,8,18,7,5,0,46,454,C00749,749,LAJ881,Atencion
2025-04-24 13:18:21.399850,CATERPILLAR 988H,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,G127,Cambio Aceite,0.22,192,0.05,3,2,0.45,3,0.87,7328,3539,875,20/18/14,11.24,86.92,1.23,5,3,3,9,6,927,4,5,14,9,8,1,6,8,5,1,1,9,9,1,79,167,A00750,750,LAJ637,Normal
2025-04-24 13:23:21.399850,CAEX,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,911,Muestreo,0.22,217,0.05,0,2,0.45,3,0.87,3716,4806,755,21/16/13,11.24,86.92,2.96,6,0,10,4,5,26,7,29,186,3,2,5,1,7,4,8,21,4,1,7,45,394,B00751,751,LAJ852,Atencion
2025-04-24 13:28:21.399850,CATERPILLAR 797F,MOTOR,MOBIL DELVAC 15W40,G126,Cambio Aceite,0.22,238,0.05,2,4,0.45,2,0.87,7556,1082,209,19/18/15,11.24,86.92,0.79,6,3,4,1,9,781,7,14,38,5,3,7,28,7,7,8,0,8,7,5,56,38,C00752,752,LAJ861,Normal
2025-04-24 13:33:21.399850,KOMATSU 930E-4SE,SISTEMA HIDRAULICO,MOBIL DTE 24,G128,Muestreo,0.22,212,0.05,2,0,0.45,1,0.87,8383,3303,865,19/16/14,11.24,86.92,1.56,8,2,5,2,5,122,3,9,24,2,4,3,29,9,2,0,11,5,8,2,16,148,C00753,753,LAJ807,Normal
2025-04-24 13:38:21.399850,KOMATSU 930 E4,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,RT3,Muestreo,0.22,204,0.05,0,4,0.45,3,0.87,5623,4493,880,20/19/15,11.24,86.92,2.29,3,1,16,6,1,854,4,18,133,8,9,8,27,0,4,8,22,5,0,8,50,337,C00754,754,LAJ073,Atencion
2025-04-24 13:43:21.399850,KOMATSU 930-E4,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,911,Cambio Aceite,0.22,222,0.05,3,1,0.45,1,0.87,5501,776,771,21/16/16,11.24,86.92,0.52,2,3,8,2,0,529,2,3,94,3,0,6,5,5,7,3,4,8,8,2,18,96,A00755,755,LAJ093,Normal
2025-04-24 13:48:21.399850,CATERPILLAR 988H,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,RT2,Cambio Aceite,0.22,234,0.05,4,4,0.45,0,0.87,1461,1084,522,19/17/14,11.24,86.92,2.55,5,0,13,3,7,709,6,25,170,8,9,2,13,3,5,2,18,3,8,6,48,275,D00756,756,LAJ956,Atencion
2025-04-24 13:53:21.399850,KOMATSU 930-E4,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,913,Cambio Aceite,0.22,201,0.05,2,0,0.45,2,0.87,4175,1775,107,21/17/13,11.24,86.92,1.36,5,4,0,2,6,556,8,5,49,3,1,8,19,6,1,7,2,7,7,9,19,18,A00757,757,LAJ869,Normal
2025-04-24 13:58:21.399850,KOMATSU 930 E5,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,512,Muestreo,0.22,218,0.05,3,0,0.45,3,0.87,1530,3950,670,19/17/14,11.24,86.92,1.47,9,1,5,2,1,649,1,13,28,5,6,0,7,0,6,7,9,9,6,6,45,168,D00758,758,LAJ783,Normal
2025-04-24 14:03:21.399850,KOMATSU 930 E5,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,914,Cambio Aceite,0.22,240,0.05,1,4,0.45,2,0.87,3386,4547,505,20/19/15,11.24,86.92,0.36,5,0,9,1,7,608,6,5,45,8,4,2,7,4,5,7,10,4,8,4,56,57,B00759,759,LAJ615,Normal
2025-04-24 14:08:21.399850,CATERPILLAR 797F,SISTEMA HIDRAULICO,MOBIL DTE 24,913,Cambio Aceite,0.22,185,0.05,1,1,0.45,2,0.87,1673,3932,600,21/17/15,11.24,86.92,3.72,0,1,27,8,2,295,1,39,217,0,4,7,19,2,4,0,43,7,1,7,5,574,C00760,760,LAJ086,Critico
2025-04-24 14:13:21.399850,KOMATSU 960 E2-K,MOTOR,MOBIL DELVAC 15W40,G126,Cambio Aceite,0.22,221,0.05,0,1,0.45,1,0.87,5118,4296,262,21/19/14,11.24,86.92,0.75,0,3,4,8,9,700,7,3,49,0,1,0,24,4,6,1,13,4,9,9,47,35,B00761,761,LAJ844,Normal
2025-04-24 14:18:21.399850,KOMATSU 980 E5,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,915,Muestreo,0.22,233,0.05,4,4,0.45,2,0.87,5623,1859,687,21/17/13,11.24,86.92,3.19,7,4,27,7,6,644,5,31,273,3,4,7,4,5,2,1,42,6,2,4,38,506,C00762,762,LAJ375,Critico
2025-04-24 14:23:21.399850,KOMATSU 930 E3,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,G126,Muestreo,0.22,239,0.05,1,3,0.45,0,0.87,8376,3054,997,21/19/14,11.24,86.92,1.84,5,1,8,0,9,252,7,13,50,7,1,3,19,3,8,0,10,6,6,7,21,150,E00763,763,LAJ679,Normal
2025-04-24 14:28:21.399850,KOMATSU 950 E4,MASA DERECHA,MOBIL MOBILTRANS HD 30,915,Cambio Aceite,0.22,243,0.05,2,1,0.45,1,0.87,1195,791,841,19/18/16,11.24,86.92,0.19,5,0,6,1,9,396,0,1,6,0,5,4,24,9,6,4,11,6,7,9,26,138,D00764,764,LAJ281,Normal
2025-04-24 14:33:21.399850,KOMATSU 930 E4,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,RT2,Cambio Aceite,0.22,228,0.05,4,3,0.45,0,0.87,6753,885,805,20/19/16,11.24,86.92,1.48,5,2,0,6,6,47,6,13,98,3,1,0,15,9,1,3,1,8,3,6,46,109,B00765,765,LAJ962,Normal
2025-04-24 14:38:21.399850,KOMATSU 960 E2-K,MANDO FINAL,MOBIL MOBILTRANS HD 30,G128,Cambio Aceite,0.22,223,0.05,3,3,0.45,2,0.87,1017,1885,561,19/17/15,11.24,86.92,3.24,4,3,27,9,1,485,5,44,223,7,2,8,27,6,8,1,47,4,5,3,30,550,B00766,766,LAJ795,Critico
2025-04-24 14:43:21.399850,KOMATSU 930-E4,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,RT4,Muestreo,0.22,227,0.05,3,0,0.45,3,0.87,9203,704,184,21/18/13,11.24,86.92,0.47,3,4,7,2,1,815,3,7,72,7,0,6,13,8,4,3,4,6,2,8,96,24,A00767,767,LAJ202,Normal
2025-04-24 14:48:21.399850,CATERPILLAR 797F,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,G127,Cambio Aceite,0.22,223,0.05,1,0,0.45,0,0.87,1022,1695,536,19/17/16,11.24,86.92,0.69,7,1,6,9,9,440,4,5,0,2,8,4,21,1,9,0,6,5,8,8,6,32,D00768,768,LAJ933,Normal
2025-04-24 14:53:21.399850,CATERPILLAR 988H,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,RT1,Muestreo,0.22,236,0.05,1,2,0.45,2,0.87,8455,2480,414,19/18/14,11.24,86.92,3.76,0,4,24,0,6,669,9,32,248,3,8,9,25,2,5,5,26,8,4,9,93,512,E00769,769,LAJ388,Critico
2025-04-24 14:58:21.399850,KOMATSU 950 E3,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,913,Cambio Aceite,0.22,184,0.05,4,4,0.45,1,0.87,1896,2244,842,18/19/13,11.24,86.92,0.14,2,1,4,7,9,2,2,11,61,9,2,2,17,3,7,4,5,4,2,2,99,83,B00770,770,LAJ936,Normal
2025-04-24 15:03:21.399850,CAEX,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,515,Muestreo,0.22,196,0.05,1,0,0.45,4,0.87,5931,4679,824,18/19/15,11.24,86.92,1.4,0,2,1,4,6,187,0,8,67,4,0,2,18,9,9,5,5,6,0,1,9,11,B00771,771,LAJ605,Normal
2025-04-24 15:08:21.399850,KOMATSU 930E-4SE,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,RT4,Muestreo,0.22,208,0.05,2,0,0.45,4,0.87,4606,1793,387,20/17/14,11.24,86.92,0.29,4,2,1,4,9,713,8,11,57,7,5,0,13,3,9,4,11,1,2,6,50,61,E00772,772,LAJ629,Normal
2025-04-24 15:13:21.399850,KOMATSU 980 E5,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,515,Muestreo,0.22,184,0.05,3,3,0.45,1,0.87,5928,1418,912,18/17/13,11.24,86.92,1.33,7,0,9,8,3,823,3,5,23,2,1,0,1,7,1,1,3,9,5,0,45,100,B00773,773,LAJ744,Normal
2025-04-24 15:18:21.399850,CAEX,MANDO FINAL,MOBIL MOBILTRANS HD 30,912,Cambio Aceite,0.22,190,0.05,3,4,0.45,4,0.87,2160,4963,736,20/17/14,11.24,86.92,0.04,6,4,8,9,9,945,6,10,8,5,6,4,26,4,4,8,0,3,7,7,46,40,C00774,774,LAJ001,Normal
2025-04-24 15:23:21.399850,KOMATSU 930-E4,SISTEMA HIDRAULICO,MOBIL DTE 24,RT3,Muestreo,0.22,232,0.05,1,4,0.45,2,0.87,9261,4497,432,21/17/16,11.24,86.92,0.13,6,0,5,7,0,949,0,14,59,0,8,9,14,6,6,3,10,9,1,9,12,19,D00775,775,LAJ523,Normal
2025-04-24 15:28:21.399850,KOMATSU 950 E4,MANDO FINAL,MOBIL MOBILTRANS HD 30,511,Cambio Aceite,0.22,225,0.05,0,3,0.45,4,0.87,1177,1412,713,21/18/14,11.24,86.92,3.23,7,4,26,7,5,527,6,49,200,1,9,5,12,7,3,5,39,0,1,9,85,573,D00776,776,LAJ065,Critico
2025-04-24 15:33:21.399850,CATERPILLAR 24M,MOTOR TRACCION DER,MOBIL SHC GEAR 680,RT3,Cambio Aceite,0.22,245,0.05,1,3,0.45,0,0.87,3268,1632,146,18/18/15,11.24,86.92,3.33,8,4,29,4,1,818,7,42,218,3,4,1,2,5,0,3,29,3,7,9,85,504,C00777,777,LAJ804,Critico
2025-04-24 15:38:21.399850,CAEX,MOTOR,MOBIL DELVAC 15W40,RT3,Muestreo,0.22,190,0.05,3,0,0.45,3,0.87,7649,583,882,20/19/13,11.24,86.92,2.55,4,3,14,2,5,311,4,21,188,8,0,4,1,7,1,4,20,9,3,0,84,247,A00778,778,LAJ122,Atencion
2025-04-24 15:43:21.399850,KOMATSU 930-E4,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,512,Cambio Aceite,0.22,192,0.05,0,3,0.45,0,0.87,1279,1309,598,20/18/16,11.24,86.92,2.81,1,2,16,9,3,5,6,19,123,3,8,0,11,9,1,3,17,1,2,6,44,467,A00779,779,LAJ588,Atencion
2025-04-24 15:48:21.399850,CATERPILLAR 24M,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,513,Cambio Aceite,0.22,184,0.05,0,4,0.45,4,0.87,9786,1383,440,18/18/16,11.24,86.92,2.7,9,1,15,5,5,526,1,20,194,5,1,6,29,6,0,5,15,9,8,4,59,328,E00780,780,LAJ584,Atencion
2022-01-01 00:00:00,KOMATSU 930 E3,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,RT2,Cambio Aceite,0.22,214,0.3,0,2,0.43,2,0.91,8926,2564,160,18/19/14,11.2,89.68,1.96,8,0,5,7,0,494,1,14,67,3,2,3,6,3,1,6,2,7,2,8,82,35,C00781,781,LAJ603,Normal
2022-01-01 00:00:00,KOMATSU 930E-4SE,MOTOR TRACCION DER,MOBIL SHC GEAR 680,G126,Cambio Aceite,0.81,202,0.02,0,2,1.57,3,0.86,7663,4393,714,18/17/14,13.41,115.63,1.59,8,1,8,9,0,341,9,6,64,8,5,5,26,4,4,0,12,2,6,4,34,94,D00782,782,LAJ988,Normal
2022-01-01 00:00:00,KOMATSU 960 E2-K,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,RT3,Muestreo,0.05,240,0.31,3,0,1.98,3,0.48,5019,2658,422,18/18/16,10.96,101.05,0.71,1,4,6,6,7,596,5,11,27,8,8,4,20,9,2,8,4,1,1,0,70,155,E00783,783,LAJ784,Normal
2022-01-01 00:00:00,CAEX,SISTEMA HIDRAULICO,MOBIL DTE 24,RT4,Cambio Aceite,0.62,203,0.47,2,2,0.45,4,0.96,2350,2587,714,19/19/15,14.78,93.7,1.45,3,0,2,0,4,881,3,11,88,1,3,5,16,6,5,7,11,9,2,3,42,106,E00784,784,LAJ545,Normal
2022-01-01 00:00:00,KOMATSU 930 E4,MANDO FINAL,MOBIL MOBILTRANS HD 30,RT2,Cambio Aceite,0.5,181,0.31,4,0,0.13,0,0.52,9867,1872,322,21/19/15,11.19,98.56,0.75,0,4,2,3,4,27,1,9,20,8,8,2,2,3,4,9,5,7,1,6,80,152,D00785,785,LAJ649,Normal
2022-01-02 00:00:00,KOMATSU 930 E5,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,513,Muestreo,0.39,234,0.26,3,3,2.0,4,0.81,9388,1975,517,20/16/13,16.56,114.6,1.51,7,2,6,7,4,503,6,0,79,7,4,2,4,1,5,5,0,7,2,0,91,98,C00786,786,LAJ424,Normal
2022-01-02 00:00:00,KOMATSU 950 E3,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,RT3,Cambio Aceite,0.01,221,0.17,3,1,1.1,4,0.24,1737,4668,780,20/17/16,11.04,84.94,1.99,9,4,0,3,3,885,9,9,32,1,3,2,20,5,7,9,6,5,5,0,75,25,B00787,787,LAJ018,Normal
2022-01-02 00:00:00,KOMATSU 980 E5,MASA DERECHA,MOBIL MOBILTRANS HD 30,RT1,Cambio Aceite,0.96,245,0.19,3,4,0.81,1,0.14,8837,686,539,18/16/14,15.22,81.44,0.31,6,4,5,0,5,312,0,7,7,5,1,0,2,3,8,2,7,8,2,5,13,164,B00788,788,LAJ681,Normal
2022-01-02 00:00:00,KOMATSU 980 E5,SISTEMA HIDRAULICO,MOBIL DTE 24,915,Muestreo,0.48,202,0.33,1,2,0.89,0,0.51,9536,4499,578,19/17/13,18.42,119.47,3.93,5,2,20,0,4,815,1,46,223,2,3,5,26,8,7,5,38,0,3,0,37,584,E00789,789,LAJ360,Critico
2022-01-02 00:00:00,KOMATSU 930-E4,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,G128,Muestreo,0.83,240,0.24,1,3,1.04,3,0.51,2360,4991,939,21/17/13,11.17,96.3,2.43,5,3,15,7,2,654,2,22,188,3,8,3,11,0,5,3,21,3,3,9,55,270,B00790,790,LAJ914,Atencion
2022-01-03 00:00:00,CATERPILLAR 24M,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,RT4,Muestreo,0.47,214,0.12,0,4,1.3,1,0.57,1439,1708,594,18/19/16,10.78,96.86,0.93,0,4,5,3,8,181,5,4,16,1,9,1,9,1,5,1,13,2,3,5,98,36,E00791,791,LAJ692,Normal
2022-01-03 00:00:00,KOMATSU 980 E5,MOTOR,MOBIL DELVAC 15W40,G126,Cambio Aceite,0.22,245,0.16,3,4,0.34,4,0.22,8885,3757,617,19/19/14,19.33,94.02,3.0,6,4,17,9,4,613,3,26,118,7,4,7,21,2,1,1,22,4,8,1,67,483,A00792,792,LAJ121,Atencion
2022-01-03 00:00:00,KOMATSU 930-E4,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,515,Muestreo,0.96,216,0.16,2,3,1.67,2,0.12,5166,1958,701,20/18/13,18.42,115.3,3.07,9,3,20,1,9,809,5,38,282,6,5,7,27,7,6,2,27,8,1,9,19,554,D00793,793,LAJ860,Critico
2022-01-03 00:00:00,KOMATSU 950 E4,SISTEMA HIDRAULICO,MOBIL DTE 24,511,Muestreo,0.63,201,0.36,3,0,1.87,3,0.55,2352,3994,471,18/16/14,14.76,119.47,1.26,3,3,3,1,1,304,0,12,44,2,9,0,25,9,8,1,0,6,7,6,75,100,A00794,794,LAJ404,Normal
2022-01-03 00:00:00,CATERPILLAR 988H,SISTEMA HIDRAULICO,MOBIL DTE 24,G126,Muestreo,0.25,184,0.06,4,1,1.06,3,0.5,5025,4652,561,18/18/14,16.29,94.17,1.68,6,4,2,8,4,781,3,1,82,4,4,7,10,0,3,8,8,4,8,0,47,124,A00795,795,LAJ072,Normal
2022-01-04 00:00:00,KOMATSU 980 E5,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,G129,Muestreo,0.63,197,0.29,3,1,1.99,1,0.86,5351,2908,793,18/17/15,14.94,106.03,0.3,1,3,5,7,1,173,0,9,14,5,2,2,15,3,3,8,13,7,0,7,42,81,B00796,796,LAJ916,Normal
2022-01-04 00:00:00,KOMATSU 980 E5,MOTOR TRACCION DER,MOBIL SHC GEAR 680,G128,Muestreo,0.78,193,0.42,3,2,0.55,0,0.19,8230,4317,862,20/17/13,17.81,102.85,1.2,0,2,8,0,2,818,2,12,17,6,1,7,18,2,0,1,11,2,5,4,3,87,C00797,797,LAJ324,Normal
2022-01-04 00:00:00,KOMATSU 960 E2-K,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,913,Muestreo,0.35,231,0.45,4,0,0.93,1,0.53,3651,4997,405,19/18/13,16.42,81.27,2.88,3,2,11,1,7,893,6,22,194,1,3,5,19,0,5,7,21,4,1,5,49,438,B00798,798,LAJ992,Atencion
2022-01-04 00:00:00,KOMATSU 950 E4,DIFERENCIAL DEL,MOBIL MOBILTRANS HD 30,912,Muestreo,0.79,238,0.29,2,2,0.84,0,0.72,6967,3811,942,19/18/14,11.37,109.11,0.81,8,4,1,4,9,833,4,10,4,5,8,9,7,0,8,8,11,2,9,7,66,44,B00799,799,LAJ035,Normal
2022-01-04 00:00:00,CAEX,MASA DERECHA,MOBIL MOBILTRANS HD 30,911,Cambio Aceite,0.95,225,0.49,0,1,1.39,0,0.48,1833,3176,250,21/18/15,17.9,83.71,0.33,2,3,4,9,1,974,6,7,13,7,8,5,5,6,5,2,7,6,3,2,81,12,D00800,800,LAJ467,Normal
2022-01-05 00:00:00,KOMATSU 960 E2-K,MOTOR TRACCION DER,MOBIL SHC GEAR 680,911,Cambio Aceite,0.63,229,0.22,3,3,0.64,2,0.27,8115,2862,366,18/16/15,11.43,83.56,2.99,1,2,14,1,6,260,7,18,155,2,6,0,10,3,7,2,16,1,5,4,50,456,E00801,801,LAJ252,Atencion
2022-01-05 00:00:00,KOMATSU 930 E4,MASA DERECHA,MOBIL MOBILTRANS HD 30,511,Cambio Aceite,0.14,199,0.03,4,2,1.99,1,0.95,5108,829,342,19/16/16,13.74,87.59,0.48,2,1,8,6,5,691,5,2,18,6,8,9,15,8,6,7,10,3,1,7,98,16,C00802,802,LAJ765,Normal
2022-01-05 00:00:00,KOMATSU 930 E3,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,511,Muestreo,0.76,226,0.35,1,4,0.67,0,0.44,8851,4346,227,21/18/13,18.79,114.9,3.56,3,2,25,2,7,274,6,49,244,0,4,7,26,3,2,4,46,7,4,1,67,586,B00803,803,LAJ044,Critico
